login,firstName,lastName,middleName,honorificPrefix,honorificSuffix,email,title,displayName,nickName,profileUrl,secondEmail,mobilePhone,primaryPhone,streetAddress,city,state,zipCode,countryCode,postalAddress,preferredLanguage,locale,timezone,userType,employeeNumber,costCenter,organization,division,department,managerId,manager
em@il.com,Regular,User,,,,[em@il.com email],,Regular User,,,,,,,,,,,,,,,,,,,,,,
fedadmin,Federal,Admin,,,,[fedadmin email],,Federal Admin,,,,,,,,,,,,,,,,,,,,,,
stateadmin,State,Admin,,,,[stateadmin email],,State Admin,,,,,,,,,,,,,,,,,,,,,,
statestaff,State,Staff,,,,[statestaff email],,State Staff,,,,,,,,,,,,,,,,,,,,,,
statecontractor,State,Contractor,,,,[statecontractor email],,State Contractor,,,,,,,,,,,,,,,,,,,,,,
sysadmin,System,Admin,,,,[sysadmin email],,System Admin,,,,,,,,,,,,,,,,,,,,,,
requestedrole,Requested,Role,,,,[requestedrole email],,Requested Role,,,,,,,,,,,,,,,,,,,,,,
deniedrole,Denied,Role,,,,[deniedrole email],,Denied Role,,,,,,,,,,,,,,,,,,,,,,
revokedrole,Revoked,Role,,,,[revokedrole email],,Revoked Role,,,,,,,,,,,,,,,,,,,,,,
expiredadmin,Expired,Admin,,,,[expiredadmin email],,Expired Admin,,,,,,,,,,,,,,,,,,,,,,
pendingadmin,Pending,Admin,,,,[pendingadmin email],,Pending Admin,,,,,,,,,,,,,,,,,,,,,,
betauser,Beta,User,,,,[betauser email],,Beta User,,,,,,,,,,,,,,,,,,,,,,
lockedout,Locked,Out,,,,[lockedout email],,Locked Out,,,,,,,,,,,,,,,,,,,,,,
norole,No,Role,,,,[norole email],,No Role,,,,,,,,,,,,,,,,,,,,,,
expired,Password,Expired,,,,[expired email],,Password Expired,,,,,,,,,,,,,,,,,,,,,,
expiredmfa,MFA,User,,,,[expiredmfa email],,MFA User,,,,,,,,,,,,,,,,,,,,,,
notingroupmfa,NotInGroup,MFA,,,,[notingroupmfa email],,Not In Group MFA,,,,,,,,,,,,,,,,,,,,,,
lockedoutmfa,Locked,MFA,,,,[lockedoutmfa email],,Locked MFA,,,,,,,,,,,,,,,,,,,,,,
resetmfa,Reset,MFA,,,,[resetmfa email],,Reset MFA,,,,,,,,,,,,,,,,,,,,,,
norolemfa,NoRole,MFA,,,,[norolemfa email],,NoRole MFA,,,,,,,,,,,,,,,,,,,,,,
expiredmfa,Expired,MFA,,,,[expiredmfa email],,Expired MFA,,,,,,,,,,,,,,,,,,,,,,
